epoch,loss,acc
1,3.1762006282806396,0.1743706613779068
2,2.231987476348877,0.3653738796710968
3,1.8302115201950073,0.464711993932724
4,1.6280394792556763,0.518632173538208
5,1.4808064699172974,0.5469447374343872
6,1.3922855854034424,0.5623604655265808
7,1.333210825920105,0.5745674967765808
8,1.2821269035339355,0.5889679193496704
9,1.2335536479949951,0.6019189953804016
10,1.1887941360473633,0.6139478087425232
11,1.1551849842071533,0.6237831711769104
12,1.122511863708496,0.6331302523612976
13,1.0891432762145996,0.6448257565498352
14,1.0631134510040283,0.6527855396270752
15,1.0334259271621704,0.6635044813156128
16,1.002634882926941,0.6707279086112976
17,0.9775335192680359,0.680059552192688
18,0.9531148672103882,0.6883447766304016
19,0.9284446239471436,0.6960100531578064
20,0.9018091559410095,0.7045046091079712
21,0.8802523016929626,0.7109220027923584
22,0.8562775254249573,0.7186880111694336
23,0.8348649740219116,0.7250821590423584
24,0.8148847222328186,0.7322203516960144
25,0.7941036820411682,0.7385370135307312
26,0.775493860244751,0.7442724108695984
27,0.7548088431358337,0.7514958381652832
28,0.7388514280319214,0.7570452094078064
29,0.7198535799980164,0.7626255750656128
30,0.7049136757850647,0.7675703763961792
31,0.6823582053184509,0.7741660475730896
32,0.6684444546699524,0.7795061469078064
33,0.6466212272644043,0.7865203619003296
34,0.6297026872634888,0.792852520942688
35,0.6141735315322876,0.7966734766960144
36,0.6001723408699036,0.8024398684501648
37,0.5864093899726868,0.8056718111038208
38,0.5755207538604736,0.809686541557312
39,0.5601720809936523,0.8144841194152832
40,0.5496260523796082,0.817832350730896
41,0.5378624200820923,0.8216223120689392
42,0.5235704779624939,0.8269546627998352
43,0.5115776658058167,0.830450177192688
44,0.4992692470550537,0.8338138461112976
45,0.4889962375164032,0.8370225429534912
46,0.47933608293533325,0.8399289846420288
47,0.46869003772735596,0.8439592719078064
48,0.45639610290527344,0.8477027416229248
49,0.445491760969162,0.8509889841079712
50,0.4382125437259674,0.8530893325805664
51,0.4271903932094574,0.8571738600730896
52,0.4165388345718384,0.8606848120689392
53,0.40552327036857605,0.8637462854385376
54,0.39808622002601624,0.8664202094078064
55,0.395013689994812,0.86782306432724
56,0.3849110007286072,0.8713417649269104
57,0.37826335430145264,0.8729616403579712
58,0.36788642406463623,0.875937819480896
59,0.3631862699985504,0.8775033950805664
60,0.3559841215610504,0.8806656002998352
61,0.3492589592933655,0.8827272653579712
62,0.34523773193359375,0.884316086769104
63,0.33764758706092834,0.8867807388305664
64,0.3331661522388458,0.8878735899925232
65,0.3272581398487091,0.8901909589767456
66,0.32402071356773376,0.8906792402267456
67,0.31965139508247375,0.892314612865448
68,0.3111340403556824,0.8949885368347168
69,0.30523449182510376,0.8970346450805664
70,0.3010185956954956,0.8990498185157776
71,0.29556795954704285,0.9006618857383728
72,0.29733994603157043,0.8996853232383728
73,0.2910397946834564,0.902870774269104
74,0.2875466048717499,0.90234375
75,0.2788230776786804,0.9065290093421936
76,0.27534914016723633,0.9068002700805664
77,0.27350813150405884,0.9081101417541504
78,0.27021801471710205,0.9084433913230896
79,0.2638492286205292,0.9110087752342224
80,0.2631038725376129,0.9106367826461792
81,0.261077880859375,0.912070631980896
82,0.2573263645172119,0.9126673936843872
83,0.2526269555091858,0.9135664701461792
84,0.24996674060821533,0.9152018427848816
85,0.2466355413198471,0.916914701461792
86,0.24591073393821716,0.9171937108039856
87,0.2442082166671753,0.9177207350730896
88,0.239107146859169,0.9195265769958496
89,0.23944418132305145,0.9195265769958496
90,0.2352312058210373,0.9205031394958496
91,0.23541878163814545,0.9209681749343872
92,0.22892457246780396,0.9225803017616272
93,0.229535773396492,0.9223400354385376
94,0.22570908069610596,0.9236498475074768
95,0.22706393897533417,0.9234483242034912
96,0.22319653630256653,0.9248046875
97,0.21829788386821747,0.9271453619003296
98,0.2206781804561615,0.9254014492034912
99,0.21900786459445953,0.9264865517616272
100,0.214010089635849,0.9277421236038208
